"","Genus","Species"
"Otu00188","Aureicoccus","marinus"
"Otu00189",NA,"amylolyticus/contaminans/foraminis/voinovskiensis"
"Otu00192",NA,NA
"Otu00195",NA,NA
"Otu00196",NA,NA
"Otu00197","Corynebacterium","jeikeium"
"Otu00198",NA,NA
"Otu00199","Halioglobus","japonicus"
"Otu00200",NA,NA
"Otu00201",NA,NA
"Otu00202","Acinetobacter","baumannii/bouvetii/haemolyticus/johnsonii/junii/lwoffii/oleivorans/oryzae/schindleri"
"Otu00203",NA,NA
"Otu00204",NA,NA
"Otu00206","Bacillus","aryabhattai/bingmayongensis/cereus/flexus/ginsengisoli/horikoshii/huizhouensis/licheniformis/megaterium/meqaterium/oryzaecorticis/pumilus/qingshengii/simplex/subtilis/thuringiensis"
"Otu00207","Paeniglutamicibacter","antarcticus/psychrophenolicus/sulfureus"
"Otu00208",NA,NA
"Otu00210",NA,NA
"Otu00211","Corynebacterium","lipophiloflavum"
"Otu00212","Leifsonia","aquatica/naganoensis/shinshuensis/soli/xyli"
"Otu00214","Halomonas","alkaliantarctica/alkaliphila/andesensis/aquamarina/axialensis/campaniensis/hydrothermalis/lutescens/meridiana/taeheungii/venusta/zhanjiangensis/zhaodongensis"
"Otu00216",NA,NA
"Otu00217",NA,NA
"Otu00218",NA,NA
"Otu00219","Kocuria","kristinae/rosea"
"Otu00220","Pseudomonas","indoloxydans/songnenensis/stutzeri/xanthomarina/zhaodongensis"
"Otu00221","Stenotrophomonas","acidaminiphila/humi/maltophilia/pavanii"
"Otu00222","Paracoccus","oceanense"
"Otu00224","Rheinheimera","aquimaris"
"Otu00225","Corynebacterium","aurimucosum/minutissimum"
"Otu00226",NA,NA
"Otu00227","Ruegeria","lacuscaerulensis"
"Otu00228","Corynebacterium","coyleae/mucifaciens"
"Otu00229",NA,NA
"Otu00230","Chryseobacterium","arthrosphaerae/gleum/indologenes/joostei/lactis/nakagawai/rhizoplanae/ureilyticum"
"Otu00232",NA,NA
"Otu00233",NA,NA
"Otu00235","Caulobacter","crescentus/vibrioides"
"Otu00236","Sphingomonas","alpina/echinoides/mali/oligophenolica/panacis/rhizogenes/sanxanigenens"
"Otu00238",NA,NA
"Otu00239",NA,NA
"Otu00240","Massilia","aurea/niastensis/oculi"
"Otu00241",NA,NA
"Otu00242",NA,NA
"Otu00243","Acinetobacter","idrijaensis/lwoffii"
"Otu00244",NA,NA
"Otu00245","Ruegeria","conchae"
"Otu00246",NA,NA
"Otu00247",NA,NA
"Otu00248","Ralstonia","insidiosa/pickettii/solanacearum/syzygii"
"Otu00249","Loktanella","aestuariicola/cinnabarina/hongkongensis"
"Otu00250","Paracoccus","homiensis"
"Otu00251","Euzebyella","saccharophila"
"Otu00252",NA,NA
"Otu00254",NA,NA
"Otu00255",NA,NA
"Otu00256",NA,NA
"Otu00257",NA,NA
"Otu00258",NA,NA
"Otu00259","Citricoccus","alkalitolerans/muralis/parietis/zhacaiensis"
"Otu00262",NA,NA
"Otu00263","Caldora","penicillata"
"Otu00264","Blastococcus","aggregatus/massiliensis"
"Otu00265","Pseudoglutamicibacter","albus/cumminsii"
"Otu00267",NA,NA
"Otu00268",NA,NA
"Otu00269",NA,NA
"Otu00271",NA,NA
"Otu00272","Paracoccus","saliphilus/zeaxanthinifaciens"
"Otu00274",NA,NA
"Otu00275",NA,NA
"Otu00276",NA,NA
"Otu00277",NA,NA
"Otu00278",NA,NA
"Otu00279",NA,NA
"Otu00281","Sagittula","stellata"
"Otu00282",NA,NA
"Otu00284",NA,NA
"Otu00285","Brachybacterium","alimentarium/conglomeratum/faecium/massiliense/paraconglomeratum/sacelli"
"Otu00286",NA,NA
"Otu00287","Vibrio","Parahaemolyticus/alfacsensis/alginolyticus/algoinfesta/antiquarius/atypicus/azureus/brasiliensis/campbellii/caribbeanicus/coralliilyticus/diabolicus/equitatus/europaeus/galatheae/gallicus/harveyi/hepatarius/ichthyoenteri/natriegens/neptunius/owensii/parahaemolyticus/ponticus/rotiferianus/sagamiensis/scophthalmi/sinaloensis/tapetis/tubiashii/variabilis/xuii"
"Otu00288","Alcanivorax","gelatiniphagus/marinus/venustensis"
"Otu00289","Delftia","acidovorans/cf./lacustris/tsuruhatensis"
"Otu00290",NA,NA
"Otu00291","Kocuria","dechangensis/flava/himachalensis/polaris/rosea/sediminis/turfanensis"
"Otu00292",NA,NA
"Otu00295",NA,NA
"Otu00296",NA,NA
"Otu00298",NA,NA
"Otu00299",NA,NA
"Otu00300","Bacillus","circulans/hisashii/thermoamylovorans"
"Otu00301","Psychrobacter","alimentarius/allis/aquaticus/faecalis/frigidicola/glacincola/luti/namhaensis"
"Otu00303",NA,NA
"Otu00304",NA,NA
"Otu00305",NA,NA
"Otu00306","Meiothermus","cateniformans/ruber/taiwanensis"
"Otu00307","Corynebacterium","riegelii"
"Otu00308",NA,NA
"Otu00309","Ornithinimicrobium","humiphilum/pekingense"
"Otu00310",NA,NA
"Otu00311",NA,"aquimaris/marinistellae/seosinensis"
"Otu00312",NA,NA
"Otu00313",NA,NA
"Otu00314","Aeromonas","allosaccharophila/aquatica/aquatilis/australiensis/bestiarum/bivalvium/cavernicola/caviae/crassostreae/dhakensis/diversa/encheleia/enterica/enteropelogenes/eucrenophila/finlandiensis/hydrophila/intestinalis/jandaei/lacus/media/molluscorum/piscicola/popoffii/rivipollensis/rivuli/salmonicida/sanarellii/sobria/taiwanensis/tecta/veronii"
"Otu00315",NA,NA
"Otu00317",NA,NA
"Otu00318",NA,"alkanoclasticum/flavidum/glaciei/koreense/maritimus/mcmeekinii/okeanokoites/psychrotoleratus/rifietoensis/salinarum"
"Otu00320",NA,NA
"Otu00321",NA,"biformata/boseongensis/intermedia"
"Otu00322","Prevotella","timonensis"
"Otu00323",NA,NA
"Otu00325",NA,NA
"Otu00326",NA,NA
"Otu00328",NA,NA
"Otu00329",NA,NA
