sample	0	1	2	3	4	5	6	7	8	9	10	11
PLATEII_D_1	33	0	0	0	3	1	1	1	0	0	0	0
PLATEII_D_2	149	14	4	3	2	4	3	3	0	0	0	0
PLATEII_D_3	420	52	25	5	5	12	8	6	5	2	3	1
PLATEII_D_4	278	51	30	8	12	11	9	11	3	2	1	1
PLATEII_D_5	309	34	9	9	11	5	5	7	6	2	0	1
PLATEII_D_6	3	1	0	0	0	0	0	0	0	0	0	0
PLATEII_D_7	253	42	15	8	0	5	3	3	2	1	0	1
PLATEII_D_8	187	31	10	7	2	5	1	4	5	0	0	0
PLATEII_D_9	312	33	10	4	8	7	8	14	5	3	1	1
PLATEII_E_10	5	0	0	0	0	1	0	0	0	0	0	0
PLATEII_E_8	6	0	0	0	0	0	0	0	0	0	0	0
PLATEII_E_9	18	2	0	0	0	0	0	0	2	0	0	0
PLATEII_F_10	423	51	21	7	6	4	10	7	4	3	0	0
PLATEII_F_11	66	15	1	1	1	1	1	0	0	1	0	0
PLATEII_F_12	130	10	5	0	1	2	3	2	2	1	0	0
PLATEII_F_1	33	1	1	0	1	0	0	1	0	0	0	0
PLATEII_F_2	76	7	4	0	0	1	3	3	1	1	0	0
PLATEII_F_3	102	11	2	3	1	1	1	2	0	0	0	0
PLATEII_F_4	95	15	4	1	1	1	1	2	1	1	0	1
PLATEII_F_5	233	22	7	8	6	2	6	3	4	2	1	0
PLATEII_F_6	66	18	4	1	1	2	1	1	1	0	0	0
PLATEII_F_7	72	16	0	2	1	1	1	0	3	0	0	0
PLATEII_F_8	83	17	2	1	2	1	2	0	2	0	0	0
PLATEII_F_9	2373	684	477	369	277	208	187	122	90	55	17	7
PLATEII_G_10	306	43	8	3	10	3	4	4	7	1	2	1
PLATEII_G_11	169	12	9	0	1	1	1	0	2	1	2	0
PLATEII_G_12	84	11	4	3	1	0	0	0	1	0	0	0
PLATEII_G_2	47	4	1	0	0	1	0	1	1	0	0	0
PLATEII_G_3	67	8	1	2	2	0	1	2	1	0	0	0
PLATEII_G_4	62	8	1	3	0	1	0	1	1	2	1	0
PLATEII_G_5	579	106	42	15	18	19	14	10	2	5	1	3
PLATEII_G_6	84	7	0	0	0	2	1	1	4	1	0	0
PLATEII_G_7	61	9	1	0	1	2	0	0	0	0	0	0
PLATEII_G_8	219	38	11	12	10	9	8	2	3	1	1	0
PLATEII_G_9	157	12	5	6	6	2	5	5	6	0	0	0
PLATEII_H_10	23	1	0	0	0	0	0	0	4	0	0	0
PLATEII_H_11	32	1	0	0	0	0	0	0	2	0	0	0
PLATEII_H_12	47	25	10	2	1	1	1	0	2	0	0	0
PLATEII_H_1	24	1	0	1	1	0	1	0	0	0	0	0
PLATEII_H_2	88	7	1	1	2	2	0	1	0	1	1	1
PLATEII_H_3	205	22	12	6	2	5	3	4	3	1	1	0
PLATEII_H_4	54	4	0	1	1	1	1	0	3	0	1	0
PLATEII_H_5	132	15	2	1	2	1	1	3	5	0	2	1
PLATEII_H_6	194	19	4	4	5	3	4	2	5	2	0	0
PLATEII_H_7	63	7	4	1	1	0	2	1	0	0	0	0
PLATEII_H_8	425	82	28	34	21	28	20	14	15	6	3	1
PLATEII_H_9	1001	1169	1035	809	664	375	247	210	156	53	7	2
PLATEIV_A_12	6	0	0	0	0	0	0	0	1	0	0	0
PLATEIV_B_10	229	28	15	4	3	1	2	1	4	3	0	0
PLATEIV_B_11	61	9	0	0	1	0	2	1	1	0	0	0
PLATEIV_B_12	120	20	4	3	0	1	1	2	3	2	0	0
PLATEIV_B_1	144	17	3	0	0	2	2	2	1	0	1	0
PLATEIV_B_2	99	16	0	1	0	1	1	0	2	5	0	0
PLATEIV_B_3	90	9	0	1	0	0	0	0	0	1	0	0
PLATEIV_B_4	230	35	9	0	2	0	2	2	4	2	0	0
PLATEIV_B_6	132	30	10	2	5	3	3	1	4	1	1	0
PLATEIV_B_7	189	23	7	2	2	2	1	5	5	1	1	0
PLATEIV_B_8	211	26	13	5	2	1	4	1	1	0	0	0
PLATEIV_B_9	277	28	7	2	5	3	4	4	1	1	2	0
PLATEIV_C_10	179	33	6	5	3	1	1	3	1	0	0	0
PLATEIV_C_11	89	10	1	0	1	1	0	1	5	0	0	0
PLATEIV_C_12	253	47	11	3	3	4	7	5	4	2	0	1
PLATEIV_C_1	148	21	1	2	0	2	0	2	4	0	0	0
PLATEIV_C_2	236	33	11	1	2	7	3	4	5	2	0	1
PLATEIV_C_3	208	20	8	4	2	7	6	2	4	1	0	0
PLATEIV_C_4	117	17	6	3	3	2	1	3	5	0	0	0
PLATEIV_C_6	422	55	34	15	8	14	15	6	7	2	2	2
PLATEIV_C_7	197	29	10	5	1	6	7	4	4	2	0	0
PLATEIV_C_8	241	42	9	4	1	3	5	3	1	1	0	0
PLATEIV_C_9	155	18	2	1	0	3	1	1	5	1	0	0
PLATEIV_D_10	1351	317	128	59	26	34	25	21	15	12	2	3
PLATEIV_D_11	159	11	8	3	2	1	2	2	4	0	0	0
PLATEIV_D_12	611	95	34	22	16	14	22	12	14	6	5	3
PLATEIV_D_1	286	44	22	7	6	8	3	4	0	0	0	0
PLATEIV_D_2	110	10	0	0	0	2	0	0	2	0	0	0
PLATEIV_D_3	255	37	10	1	3	5	1	3	5	3	1	1
PLATEIV_D_4	485	81	43	21	7	10	14	11	4	2	1	0
PLATEIV_D_6	162	27	5	4	3	6	2	3	4	0	0	0
PLATEIV_D_7	332	36	12	10	2	3	5	3	6	0	0	0
PLATEIV_D_8	547	103	42	21	17	15	16	6	13	3	4	0
PLATEIV_D_9	370	53	20	6	5	5	4	6	8	1	0	1
PLATEIV_E_10	213	43	11	1	2	2	3	4	3	1	0	0
PLATEIV_E_11	151	15	4	2	2	3	5	1	1	1	0	0
PLATEIV_E_12	223	26	5	4	0	3	4	2	4	4	0	0
PLATEIV_E_1	172	11	3	2	4	3	0	6	0	1	1	0
PLATEIV_E_2	233	29	6	4	3	6	2	2	7	2	0	0
PLATEIV_E_3	90	10	1	0	0	2	0	0	4	0	0	0
PLATEIV_E_4	102	12	5	2	0	0	0	1	2	0	0	0
PLATEIV_E_6	771	136	46	17	20	20	19	16	16	2	2	2
PLATEIV_E_7	168	38	13	3	0	1	2	4	3	1	0	0
PLATEIV_E_8	283	73	11	2	1	3	4	0	11	3	1	0
PLATEIV_E_9	212	51	15	3	2	3	5	5	4	1	6	1
PLATEIV_F_10	106	12	1	1	3	1	0	1	3	2	0	0
PLATEIV_F_11	117	19	7	3	4	0	3	0	2	3	0	0
PLATEIV_F_12	143	16	1	0	0	1	1	0	5	1	0	0
PLATEIV_F_1	188	25	7	5	1	2	3	3	4	3	0	0
PLATEIV_F_2	159	25	6	6	2	1	4	4	0	1	1	0
PLATEIV_F_3	98	19	2	2	0	2	1	0	1	0	0	0
PLATEIV_F_4	133	24	1	2	0	2	0	0	1	0	0	0
PLATEIV_F_6	157	32	10	2	2	3	2	1	0	0	1	0
PLATEIV_F_7	176	27	6	0	0	8	3	3	5	1	0	0
PLATEIV_F_8	99	22	6	3	1	2	3	0	4	3	0	0
PLATEIV_F_9	100	24	3	2	2	5	10	1	3	1	0	0
PLATEIV_G_10	348	32	9	5	5	7	7	8	5	1	1	1
PLATEIV_G_11	117	10	5	1	0	3	1	2	2	2	0	0
PLATEIV_G_12	162	18	4	1	1	3	0	1	3	0	0	2
PLATEIV_G_1	174	16	7	7	4	1	4	5	3	1	0	0
PLATEIV_G_2	160	10	5	2	0	1	3	0	1	1	1	0
