"Sample"	"3.1-Dereplication"	"3.2-Denoising"	"4-ESV"
"PLATEIII_D_12"	"40430 (12803 uniques)"	"40309 (127 uniques)"	"40011 (142 uniques)"
"PLATEIII_D_1"	"5956 (2369 uniques)"	"5875 (66 uniques)"	"3492 (62 uniques)"
"PLATEIII_D_2"	"28437 (8993 uniques)"	"28333 (68 uniques)"	"19921 (70 uniques)"
"PLATEIII_D_3"	"15496 (5075 uniques)"	"15393 (39 uniques)"	"15199 (48 uniques)"
"PLATEIII_D_4"	"14225 (4935 uniques)"	"14145 (49 uniques)"	"13984 (58 uniques)"
"PLATEIII_D_5"	"52209 (19594 uniques)"	"52077 (261 uniques)"	"51526 (304 uniques)"
"PLATEIII_D_6"	"30058 (10527 uniques)"	"30008 (102 uniques)"	"29617 (109 uniques)"
"PLATEIII_D_7"	"65009 (20273 uniques)"	"64904 (132 uniques)"	"64168 (150 uniques)"
"PLATEIII_D_8"	"21038 (7254 uniques)"	"20960 (63 uniques)"	"20730 (79 uniques)"
"PLATEIII_D_9"	"88420 (16894 uniques)"	"88209 (111 uniques)"	"83475 (112 uniques)"
"PLATEIII_E_10"	"79611 (24714 uniques)"	"79364 (306 uniques)"	"55723 (345 uniques)"
"PLATEIII_E_11"	"31378 (9601 uniques)"	"31252 (251 uniques)"	"30973 (275 uniques)"
"PLATEIII_E_12"	"41271 (11193 uniques)"	"41129 (114 uniques)"	"40921 (130 uniques)"
"PLATEIII_E_1"	"1486 (669 uniques)"	"1460 (30 uniques)"	"1422 (26 uniques)"
"PLATEIII_E_2"	"8957 (3377 uniques)"	"8862 (46 uniques)"	"8594 (62 uniques)"
"PLATEIII_E_3"	"16927 (6402 uniques)"	"16808 (79 uniques)"	"16627 (92 uniques)"
"PLATEIII_E_4"	"18698 (6190 uniques)"	"18616 (75 uniques)"	"18514 (86 uniques)"
"PLATEIII_E_5"	"45300 (11748 uniques)"	"44761 (169 uniques)"	"43836 (142 uniques)"
"PLATEIII_E_6"	"38075 (12957 uniques)"	"37904 (143 uniques)"	"37401 (170 uniques)"
"PLATEIII_E_7"	"24073 (7606 uniques)"	"24010 (59 uniques)"	"23841 (67 uniques)"
"PLATEIII_E_8"	"17337 (5625 uniques)"	"17246 (52 uniques)"	"17113 (67 uniques)"
"PLATEIII_E_9"	"85945 (18881 uniques)"	"85667 (222 uniques)"	"79889 (235 uniques)"
"PLATEIII_F_10"	"56369 (15377 uniques)"	"56175 (111 uniques)"	"52280 (116 uniques)"
"PLATEIII_F_11"	"18794 (6412 uniques)"	"18729 (73 uniques)"	"18436 (92 uniques)"
"PLATEIII_F_12"	"43249 (15480 uniques)"	"43011 (271 uniques)"	"42531 (305 uniques)"
"PLATEIII_F_1"	"3094 (1367 uniques)"	"3051 (54 uniques)"	"2900 (49 uniques)"
"PLATEIII_F_2"	"39800 (10355 uniques)"	"39686 (117 uniques)"	"37867 (128 uniques)"
"PLATEIII_F_3"	"29441 (9930 uniques)"	"29335 (95 uniques)"	"29047 (110 uniques)"
"PLATEIII_F_4"	"21911 (7395 uniques)"	"21726 (81 uniques)"	"21345 (114 uniques)"
"PLATEIII_F_5"	"15987 (5932 uniques)"	"15914 (52 uniques)"	"15777 (60 uniques)"
"PLATEIII_F_6"	"173 (141 uniques)"	"112 (9 uniques)"	"55 (3 uniques)"
"PLATEIII_F_7"	"16939 (5873 uniques)"	"16877 (46 uniques)"	"16671 (61 uniques)"
"PLATEIII_F_8"	"23239 (7977 uniques)"	"23143 (69 uniques)"	"22911 (75 uniques)"
"PLATEIII_F_9"	"85451 (16446 uniques)"	"85229 (130 uniques)"	"83216 (145 uniques)"
"PLATEIII_G_10"	"85594 (20752 uniques)"	"85392 (164 uniques)"	"84419 (217 uniques)"
"PLATEIII_G_11"	"72547 (19746 uniques)"	"72361 (153 uniques)"	"71814 (202 uniques)"
"PLATEIII_G_12"	"54056 (17501 uniques)"	"53790 (174 uniques)"	"53313 (202 uniques)"
"PLATEIII_G_1"	"1057 (570 uniques)"	"1002 (40 uniques)"	"925 (32 uniques)"
"PLATEIII_G_2"	"24207 (8987 uniques)"	"23966 (165 uniques)"	"19987 (161 uniques)"
"PLATEIII_G_3"	"11162 (3910 uniques)"	"11034 (45 uniques)"	"10902 (47 uniques)"
"PLATEIII_G_4"	"33250 (8750 uniques)"	"33165 (104 uniques)"	"32900 (107 uniques)"
"PLATEIII_G_5"	"35547 (10028 uniques)"	"35431 (119 uniques)"	"35180 (130 uniques)"
"PLATEIII_G_6"	"37005 (9663 uniques)"	"36924 (66 uniques)"	"36743 (86 uniques)"
"PLATEIII_G_7"	"23031 (7972 uniques)"	"22924 (84 uniques)"	"22703 (97 uniques)"
"PLATEIII_G_8"	"31376 (10296 uniques)"	"31308 (102 uniques)"	"31005 (122 uniques)"
"PLATEIII_G_9"	"27213 (8764 uniques)"	"26922 (103 uniques)"	"25827 (116 uniques)"
"PLATEIII_H_10"	"38875 (11691 uniques)"	"38775 (109 uniques)"	"38281 (119 uniques)"
"PLATEIII_H_11"	"16472 (6081 uniques)"	"16401 (62 uniques)"	"16198 (69 uniques)"
"PLATEIII_H_12"	"52889 (17591 uniques)"	"52754 (187 uniques)"	"52307 (215 uniques)"
"PLATEIII_H_1"	"4156 (1782 uniques)"	"4028 (38 uniques)"	"3974 (32 uniques)"
"PLATEIII_H_2"	"206971 (71279 uniques)"	"206412 (1037 uniques)"	"203803 (1427 uniques)"
"PLATEIII_H_3"	"91972 (27482 uniques)"	"91838 (144 uniques)"	"91040 (200 uniques)"
"PLATEIII_H_4"	"117037 (23790 uniques)"	"116932 (181 uniques)"	"113940 (188 uniques)"
"PLATEIII_H_5"	"22423 (7253 uniques)"	"22258 (56 uniques)"	"22107 (73 uniques)"
