sample_name,tag.id,colony.color,depth.ft,samp.date,colonyDNA.id,UNIQUEID,land_ocean,sample_num,sensor_num,octo_num,samp_loc,sub_loc,branch_loc,branch_plate,sample.name,dom,cd_few,location,loc_samp_nam,dups,sample type
E2,971,Brown,5,7/16/19,E,E2,Ocean,2,NA,,Branch,mid,Inner,A,E2,C,,Branch mid,Branch mid_E2,,sample
E3,971,Brown,5,7/16/19,E,E3,Ocean,3,1,Octo_4,Branch,base,Inner,A,E3,C,,Branch base,Branch base_E3,,sample
E4,971,Brown,5,7/16/19,E,E4,Ocean,4,NA,,Branch,tip,,B,E4,C,,Branch tip,Branch tip_E4,,sample
E5,971,Brown,5,7/16/19,E,E5,Ocean,5,NA,,Branch,mid,Outer,B,E5,C,,Branch mid,Branch mid_E5,,sample
E6,971,Brown,5,7/16/19,E,E6,Ocean,6,NA,,Branch,base,Outer,B,E6,C,,Branch base,Branch base_E6,,sample
E7,971,Brown,5,7/16/19,E,E7,Ocean,7,6,Octo_4,Deepest,,,,E7,C,,Deepest,Deepest_E7,,sample
E8,971,Brown,5,7/16/19,E,E8,Ocean,8,3,Octo_4,Lowest,,,,E8,C,,Lowest,Lowest_E8,,sample
E9,971,Brown,5,7/16/19,E,E9,Land,9,NA,,Branch,tip,,C,E9,C,,Branch tip,Branch tip_E9,,sample
F1,968,Orange,6,7/17/19,F,F1,Ocean,1,0,Octo_3,Branch,tip,,A,F1,D,,Branch tip,Branch tip_F1,,sample
F10,968,Orange,6,7/17/19,F,F10,Land,10,NA,,Branch,mid,Outer,C,F10,D,,Branch mid,Branch mid_F10,yes,sample
F10b,968,Orange,6,7/17/19,F,F10,Land,10,NA,,Branch,mid,Outer,C,F10,D,,Branch mid,Branch mid_F10,yes,sample
F11,968,Orange,6,7/17/19,F,F11,Land,11,5,Octo_3,Branch,base,Inner,C,F11,D,,Branch base,Branch base_F11,,sample
F12,968,Orange,6,7/17/19,F,F12,Land,12,NA,,Branch,tip,,D,F12,D,,Branch tip,Branch tip_F12,,sample
F13,968,Orange,6,7/17/19,F,F13,Land,13,NA,,Branch,mid,Outer,D,F13,D,,Branch mid,Branch mid_F13,,sample
F14,968,Orange,6,7/17/19,F,F14,Land,14,NA,,Branch,base,Inner,D,F14,D,,Branch base,Branch base_F14,,sample
F15,968,Orange,6,7/17/19,F,F15,Land,15,6,Octo_3,Deepest,,,,F15,D,,Deepest,Deepest_F15,yes,sample
F15b,968,Orange,6,7/17/19,F,F15,Land,15,6,Octo_3,Deepest,,,,F15,D,,Deepest,Deepest_F15,yes,sample
F16,968,Orange,6,7/17/19,F,F16,Land,16,7,Octo_3,Lowest,,,,F16,D,,Lowest,Lowest_F16,,sample
F2,968,Orange,6,7/17/19,F,F2,Ocean,2,NA,,Branch,mid,Outer,A,F2,D,,Branch mid,Branch mid_F2,yes,sample
F2b,968,Orange,6,7/17/19,F,F2,Ocean,2,NA,,Branch,mid,Outer,A,F2,D,,Branch mid,Branch mid_F2,yes,sample
F3,968,Orange,6,7/17/19,F,F3,Ocean,3,1,Octo_3,Branch,base,Inner,A,F3,D,,Branch base,Branch base_F3,,sample
F4,968,Orange,6,7/17/19,F,F4,Ocean,4,NA,,Branch,tip,,B,F4,D,,Branch tip,Branch tip_F4,yes,sample
F4b,968,Orange,6,7/17/19,F,F4,Ocean,4,NA,,Branch,tip,,B,F4,D,,Branch tip,Branch tip_F4,yes,sample
