TagID,Colony Color,Depth.ft,Samp.Date,ColonyDNA.ID,UNIQUEID,Land_Ocean,SampleNum,SampLoc,Sub.loc,BranchLoc,Sample_name,Zoox,CD_few,Location,LocSamp
965,Brown,7,7/5/19,B,B10,Land,10,Branch  ,mid,Inner,B10,C,,Branch mid,Branch mid_B10
965,Brown,7,7/5/19,B,B11,Land,11,Branch  ,base,Inner,B11,C,,Branch base,Branch base_B11
965,Brown,7,7/5/19,B,B12,Land,12,Branch ,tip,,B12,C,,Branch tip,Branch tip_B12
965,Brown,7,7/5/19,B,B13,Land,13,Branch  ,mid,Outer,B13,C,,Branch mid,Branch mid_B13
965,Brown,7,7/5/19,B,B14,Land,14,Branch  ,base,Outer,B14,C,,Branch base,Branch base_B14
965,Brown,7,7/5/19,B,B15,Land,15,Deepest,,,B15,C,,Deepest,Deepest_B15
965,Brown,7,7/5/19,B,B16,Land,16,Lowest,,,B16,C,,Lowest,Lowest_B16
969,Orange,5,7/8/19,C,C1,Ocean,1,Branch ,tip,,C1,CD,Few,Branch tip,Branch tip_C1
969,Orange,5,7/8/19,C,C2,Ocean,2,Branch ,mid,Outer,C2,CD,Few,Branch mid,Branch mid_C2
969,Orange,5,7/8/19,C,C3,Ocean,3,Branch  ,base,Outer,C3,CD,Few,Branch base,Branch base_C3
969,Orange,5,7/8/19,C,C4,Ocean,4,Branch ,tip,,C4,CD,Few,Branch tip,Branch tip_C4
969,Orange,5,7/8/19,C,C5,Ocean,5,Branch  ,mid,Outer,C5,CD,Few,Branch mid,Branch mid_C5
969,Orange,5,7/8/19,C,C6,Ocean,6,Branch  ,base,Inner,C6,CD,Few,Branch base,Branch base_C6
969,Orange,5,7/8/19,C,C7,Ocean,7,Deepest,,,C7,CD,Few,Deepest,Deepest_C7
969,Orange,5,7/8/19,C,C8,Ocean,8,Lowest,,,C8,CD,Few,Lowest,Lowest_C8
969,Orange,5,7/8/19,C,C9,Land,9,Branch ,tip,,C9,CD,Few,Branch tip,Branch tip_C9
969,Orange,5,7/8/19,C,C10,Land,10,Branch  ,mid,Outer,C10,CD,Few,Branch mid,Branch mid_C10
969,Orange,5,7/8/19,C,C11,Land,11,Branch ,base,Inner,C11,CD,Few,Branch base,Branch base_C11
969,Orange,5,7/8/19,C,C12,Land,12,Branch ,tip,,C12,CD,Few,Branch tip,Branch tip_C12
