	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_97	9-TaxaFilter_97	10-MultipletonsFilter_97	11-Subsampling_97	12-Lulu_97
PLATEI_G_5	27309	24040	24040	24040 (7085 uniques)	23946 (57 uniques)	23609 (68 uniques)	23481 (52 uniques)	23481 (52 uniques)	23481 (52 uniques)	23481 (36 uniques)	22940 (35 uniques)	22940 (35 uniques)	3000 (35 uniques)	3000 (35 uniques)
PLATEIII_B_10	25416	23119	23119	23119 (8432 uniques)	23017 (84 uniques)	21218 (90 uniques)	16426 (62 uniques)	16426 (62 uniques)	16426 (62 uniques)	16426 (41 uniques)	14728 (36 uniques)	14728 (36 uniques)	3000 (36 uniques)	3000 (36 uniques)
PLATEI_H_5	25542	22447	22447	22447 (6767 uniques)	22366 (70 uniques)	22163 (92 uniques)	21301 (65 uniques)	21301 (65 uniques)	21301 (65 uniques)	21301 (39 uniques)	20225 (36 uniques)	20225 (36 uniques)	3000 (36 uniques)	3000 (36 uniques)
PLATEVI_A_10	87949	80388	80388	80388 (30397 uniques)	80150 (628 uniques)	64969 (720 uniques)	51709 (661 uniques)	51684 (660 uniques)	51684 (660 uniques)	51684 (443 uniques)	45184 (405 uniques)	45184 (405 uniques)	3000 (363 uniques)	3000 (362 uniques)
PLATEIII_A_1	9301	8470	8470	8470 (3334 uniques)	8438 (77 uniques)	7746 (78 uniques)	5493 (47 uniques)	5493 (47 uniques)	5493 (47 uniques)	5493 (41 uniques)	3966 (37 uniques)	3966 (37 uniques)	3000 (37 uniques)	3000 (37 uniques)
PLATEIII_F_11	21068	18794	18794	18794 (6412 uniques)	18729 (73 uniques)	18436 (92 uniques)	17354 (60 uniques)	17354 (60 uniques)	17354 (60 uniques)	17354 (43 uniques)	16709 (40 uniques)	16709 (40 uniques)	3000 (37 uniques)	3000 (37 uniques)
PLATEIII_F_4	24502	21911	21911	21911 (7395 uniques)	21726 (81 uniques)	21345 (114 uniques)	21334 (87 uniques)	21334 (87 uniques)	21334 (87 uniques)	21334 (41 uniques)	20896 (37 uniques)	20896 (37 uniques)	3000 (37 uniques)	3000 (37 uniques)
PLATEII_F_4	14450	13046	13046	13046 (3483 uniques)	12953 (62 uniques)	12833 (67 uniques)	12833 (58 uniques)	12833 (58 uniques)	12833 (58 uniques)	12833 (40 uniques)	12707 (37 uniques)	12707 (37 uniques)	3000 (37 uniques)	3000 (37 uniques)
PLATEII_F_8	21065	18916	18916	18916 (4567 uniques)	18850 (57 uniques)	18703 (68 uniques)	18703 (57 uniques)	18703 (57 uniques)	18703 (57 uniques)	18703 (39 uniques)	13845 (37 uniques)	13845 (37 uniques)	3000 (37 uniques)	3000 (37 uniques)
PLATEII_G_3	7888	7109	7109	7109 (2103 uniques)	7062 (50 uniques)	6977 (52 uniques)	6977 (48 uniques)	6977 (48 uniques)	6977 (48 uniques)	6977 (39 uniques)	6959 (37 uniques)	6959 (37 uniques)	3000 (37 uniques)	3000 (37 uniques)
PLATEII_G_4	8744	7845	7845	7845 (2045 uniques)	7771 (54 uniques)	7627 (54 uniques)	7627 (50 uniques)	7627 (50 uniques)	7627 (50 uniques)	7627 (39 uniques)	7567 (37 uniques)	7567 (37 uniques)	3000 (37 uniques)	3000 (37 uniques)
PLATEII_G_6	14255	12519	12519	12519 (2921 uniques)	12477 (57 uniques)	12413 (61 uniques)	12387 (57 uniques)	12387 (57 uniques)	12387 (57 uniques)	12387 (43 uniques)	11920 (38 uniques)	11920 (38 uniques)	3000 (37 uniques)	3000 (37 uniques)
